Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
409285000,11500.0,509695.0,QuintaNormal,Hoevel4548y4558,7,4,384,732,3,11700213,
105000000,2950.0,130760.0,PedroAguirreCerda,Rucalhue,2,1,112,145,1,10894299,Legales y Propiedades SpA
128124000,3600.0,159557.0,EstaciónCentral,AvenidaLasParcelas,3,1,59,243,2,10257635,Propiedadesrs
75000000,2107.0,93400.0,Colina,PasajeGonzaloRojas,3,1,103,73,1,9232092,Patricio Gajardo propiedades
53000000,1489.0,66002.0,Colina,HernánDíazArrieta2820,2,1,57,67,1,7085397,Patricio Gajardo propiedades
94000000,2641.0,117061.0,EstaciónCentral,Avenida5deAbril,2,1,72,131,,7586371,Patricio Gajardo propiedades
75000000,2107.0,93400.0,Colina,GabrielaMistral/PabloNeruda,3,1,70,80,2,11688480,Patricio Gajardo propiedades
105000000,2950.0,130760.0,LaFlorida,SanCristóbalTres,2,1,50,120,1,12229303,Gesinprop Gestión Inmobiliaria
76000000,2135.0,94645.0,Maipú,PasajeJosédeMoraleda,3,1,72,72,1,12223374,Gesinprop Gestión Inmobiliaria
76000000,2135.0,94645.0,Maipú,Matías,3,1,46,90,1,12221068,Gesinprop Gestión Inmobiliaria
90000000,2529.0,112080.0,Maipú,LasTinajas&QuintaVergara,3,1,100,134,3,12188657,Gesinprop Gestión Inmobiliaria
75000000,2107.0,93400.0,SanBernardo,ValledelAconcagua,3,2,50,88,1,12187463,Gesinprop Gestión Inmobiliaria
153037000,4300.0,190582.0,Maipú,Merlin,3,2,98,130,2,12187364,Gesinprop Gestión Inmobiliaria
132000000,3709.0,164384.0,QuintaNormal,SalvadorGutiérrez&Jujuy,4,1,69,200,2,8493024,Paula Vivanco Arenas
199000000,5591.0,247821.0,Santiago,Cuevas,7,3,162,185,,12155606,Todo Propiedades
373695000,10500.0,465374.0,LaFlorida,JoséMiguelCarrera,7,3,173,850,3,7850911,
480000000,13487.0,597758.0,LaFlorida,Altomacul,5,6,240,600,2,6474890,Inmobiliaria Barrio Nuevo SpA
142000000,3990.0,176837.0,Santiago,Sandaniel,3,2,100,163,2,12065162,
295397000,8300.0,367867.0,LaFlorida,CaminodelaNaturaleza,3,3,105,280,2,10765504,Ecorredores Gestion Inmobiliaria
391490000,11000.0,487534.0,LaFlorida,Cam.LasCumbres6790,5,3,150,400,2,10105612,Ecorredores Gestion Inmobiliaria
1210060000,34000.0,1506924.0,LasCondes,Laforesta,5,5,360,1150,4,10080545,
160155000,4500.0,199446.0,Lampa,AvenidaLaMontañaSur4149,3,3,80,156,2,8677005,Behouse
129903500,3650.0,161773.0,Lampa,AvenidaLaHacienda,3,2,68,221,1,7850612,Behouse
75000000,2107.0,93400.0,Quilicura,Riocachapoal,2,2,70,78,,11426067,Propital
50000000,1405.0,62267.0,PuenteAlto,CerroParedones,3,1,31,73,,11988681,Cgs Corretaje Inmobiliario Spa
175000000,4917.0,217933.0,Santiago,RíoTrancura,3,3,94,191,4,11840169,
150000000,4215.0,186800.0,QuintaNormal,NuevaImperial,2,1,96,247,1,11933894,Cgs Corretaje Inmobiliario Spa
160000000,4496.0,199253.0,SanBernardo,AltoJahuel,3,2,91,268,2,11915330,Legales y Propiedades SpA
75000000,2107.0,93400.0,LaPintana,VioletaParra,3,1,62,88,1,9449460,Legales y Propiedades SpA
75000000,2107.0,93400.0,LaPintana,PoetaRamóndelValle,3,2,90,80,1,9630711,Legales y Propiedades SpA
160000000,4496.0,199253.0,PuenteAlto,Colombia,5,2,165,315,1,9881681,Legales y Propiedades SpA
302728540,8506.0,376997.0,PuenteAlto,LaParroquia,2,1,83,1000,4,10930652,Legales y Propiedades SpA
266925000,7500.0,332410.0,QuintaNormal,TadeoVargas,4,3,198,354,1,11588945,
180000000,5058.0,224159.0,Santiago,Vichuquén,3,2,79,114,,11791851,Corredora Fuentes Propiedades
120000000,3372.0,149440.0,Santiago,LebuOriente,4,1,131,138,2,11841421,
239000000,6715.0,297634.0,Santiago,Avenida10deJulioHuamachuco,5,4,250,190,1,7756750,Todo Propiedades
444519100,12490.0,553573.0,Huechuraba,SantaMartadeHuechuraba,5,5,156,530,4,11831081,Giordano Propiedades
125000000,3512.0,155666.0,Maipú,DaríoPobleteNúñez,3,2,80,100,2,11607101,dalet propiedades
65129700,1830.0,81108.0,SanBernardo,Sta.Ines3481,3,1,52,75,1,11824596,Rodrigo Cañas de la Cerda Propiedades
115000000,3231.0,143213.0,Maipú,Aracari389,3,1,76,120,2,11786572,Silvana Guillen Propiedades
261586500,7350.0,325762.0,SanMiguel,BartoloSoto,3,3,113,130,1,7971519,Good Property
266569100,7490.0,331967.0,Ñuñoa,Av.JoséPedroAlessandri1625,4,3,109,119,1,7971620,Good Property
160000000,4496.0,199253.0,LaFlorida,LosGeranios70,3,1,84,200,2,11013162,
160155000,4500.0,199446.0,Lampa,Lamontañasur,3,2,88,158,3,11788723,Peralta Propiedades SpA
259807000,7300.0,323545.0,SanMiguel,QuintaAvenida,5,2,200,300,3,11750010,Giordano Propiedades
115000000,3231.0,143213.0,LaGranja,VillalosPensamientos,3,2,61,163,2,9694714,
282940500,7950.0,352354.0,Pudahuel,AvenidaLasFlores,3,3,145,454,2,6059114,Tzanis Propiedades
140580500,3950.0,175069.0,Maipú,PasajeSantaNidia,4,3,160,162,2,10500128,Gesinprop Gestión Inmobiliaria
121000000,3400.0,150685.0,Maipú,Ptovelero,3,2,100,136,1,10733354,Gesinprop Gestión Inmobiliaria
139000000,3906.0,173101.0,Maipú,Lastorres,5,2,127,112,2,10571335,alejandra escanilla garrido
91000000,2557.0,113325.0,Maipú,Elsurazo,3,1,55,100,1,11630172,alejandra escanilla garrido
190406500,5350.0,237119.0,Independencia,PasajeLeonorCepeda,5,2,120,240,,9679579,Hudson Propiedades
140580500,3950.0,175069.0,Buin,ComercianteArmandoPérezCarrasco165,4,2,101,168,2,10221099,Ambiento Propiedades
333834200,9380.0,415734.0,Pudahuel,losrododendrosponiente,4,3,160,400,2,10370614,Tzanis Propiedades
252689000,7100.0,314681.0,Peñalolén,QuebradadeMacul,4,3,112,196,2,9462617,
85000000,2388.0,105853.0,Talagante,VillaEsperanza,2,2,80,138,1,9225401,
85000000,2388.0,105853.0,LaFlorida,LaFlorida,2,1,65,85,1,6425368,Difusion Propiedades
184356200,5180.0,229584.0,Quilicura,PasajeSantaMagdalenaQuilicur,3,2,90,149,2,9743065,Behouse
238453000,6700.0,296953.0,Pudahuel,LaEsperanza,3,3,110,190,1,7146910,Tzanis Propiedades
309633000,8700.0,385595.0,Pudahuel,LosAlmendros,5,3,165,400,2,7016500,Tzanis Propiedades
190406500,5350.0,237119.0,Maipú,CondominioLasCatalpas2,4,4,130,130,1,6992761,Tzanis Propiedades
347002500,9750.0,432133.0,Pudahuel,Efeso,4,3,140,550,2,8201406,Tzanis Propiedades
291838000,8200.0,363435.0,Pudahuel,CerrodeloAguirre,3,3,130,300,3,10653655,Tzanis Propiedades
293617500,8250.0,365651.0,Pudahuel,LosAbedules,3,3,125,850,2,9951428,Tzanis Propiedades
297176500,8350.0,370083.0,Pudahuel,Callenuevaunosur,4,3,120,420,2,9644944,Tzanis Propiedades
241656100,6790.0,300942.0,Pudahuel,EsterodelCobre,3,3,130,170,1,10930337,Tzanis Propiedades
533850000,15000.0,664819.0,LaFlorida,LaFlorida,16,12,389,890,3,2988676,Difusion Propiedades
180000000,5058.0,224159.0,Maipú,LasNaciones,5,3,136,153,2,9274473,
168000000,4720.0,209215.0,PadreHurtado,CaminoBajosdeSta.Cruz342,4,3,130,180,2,10340252,
109900000,3088.0,136862.0,Maipú,Pje.ArmandoCortinez345,3,2,85,120,1,10340294,
160000000,4496.0,199253.0,PuenteAlto,CondominioJardinesdeLasVizcachas,3,3,85,180,2,6359377,Carolina Martinez Propiedades
155000000,4355.0,193026.0,Tiltil,Tiltil,7,3,250,1000,8,3776733,Difusion Propiedades
444875000,12500.0,554016.0,LoBarnechea,ElRodeo-NidodeAguilas,6,4,176,275,2,2652853,Bello Propiedades Gestión Inmobiliaria
153037000,4300.0,190582.0,Maipú,CalleSantaNidia,4,3,107,145,,4003310,
136000000,3821.0,169365.0,SanBernardo,CondominioBarriónuevodenos,3,3,92,148,1,9060758,G A M P. Propiedades
119000000,3344.0,148194.0,Maipú,Elsurazo,5,2,113,108,2,8805661,alejandra escanilla garrido
135000000,3793.0,168120.0,Maipú,SantaBerta,4,3,93,124,,9142610,alejandra escanilla garrido
270484000,7600.0,336842.0,LaFlorida,Sta.Delia7718,5,3,152,200,3,7806625,
175000000,4917.0,217933.0,Maipú,RamayanacercaMetroPlazaMaipu,4,2,110,130,3,3995128,Sucasa Gestión Inmobiliaria
391490000,11000.0,487534.0,Providencia,MiguelClaro1950,4,2,229,248,2,9542577,Sucasa Gestión Inmobiliaria
325000000,9132.0,404732.0,Buin,Maipú490,4,2,127,450,4,9379847,
85000000,2388.0,105853.0,Santiago,Carpay984,4,2,70,80,1,11572248,
354120500,9950.0,440997.0,Colina,Sta.Elena278,3,3,118,350,3,9196861,Behouse
81857000,2300.0,101939.0,PadreHurtado,pasajenarciso1809,3,2,53,65,1,10851413,
165000000,4636.0,205479.0,PuenteAlto,Neculan,4,2,110,150,2,7469698,
