id_reserva,fecha_reserva,dni_pasaporte,id_tour,monto_total
1,2026-09-19,CLI-1183,2,1710.0
2,2026-10-07,CLI-1148,3,1800.0
3,2026-09-30,CLI-1121,3,1900.0
4,2026-09-09,CLI-1091,2,1710.0
5,2026-08-21,CLI-1074,2,1710.0
6,2026-04-25,CLI-1000,2,1710.0
7,2026-05-15,CLI-1141,1,2375.0
8,2026-06-22,CLI-1145,2,1620.0
9,2026-05-08,CLI-1080,1,2250.0
10,2026-05-01,CLI-1173,5,2070.0
11,2026-07-01,CLI-1094,5,2070.0
12,2026-04-23,CLI-1153,1,2375.0
13,2026-05-19,CLI-1039,5,2185.0
14,2026-10-02,CLI-1070,5,2070.0
15,2026-07-06,CLI-1099,1,2375.0
16,2026-04-18,CLI-1097,2,1800.0
17,2026-05-03,CLI-1151,4,1615.0
18,2026-06-07,CLI-1167,2,1620.0
19,2026-05-13,CLI-1049,4,1615.0
20,2026-05-11,CLI-1107,3,2000.0
21,2026-07-31,CLI-1004,5,2300.0
22,2026-05-23,CLI-1041,1,2250.0
23,2026-08-26,CLI-1180,2,1710.0
24,2026-10-07,CLI-1167,4,1615.0
25,2026-06-25,CLI-1127,2,1620.0
26,2026-08-25,CLI-1140,1,2250.0
27,2026-09-19,CLI-1065,5,2300.0
28,2026-06-04,CLI-1136,2,1800.0
29,2026-04-15,CLI-1054,4,1615.0
30,2026-10-01,CLI-1012,3,2000.0
31,2026-06-09,CLI-1159,2,1710.0
32,2026-09-07,CLI-1159,2,1620.0
33,2026-04-12,CLI-1120,2,1710.0
34,2026-09-25,CLI-1020,3,1800.0
35,2026-06-01,CLI-1100,4,1700.0
36,2026-07-12,CLI-1072,2,1800.0
37,2026-06-03,CLI-1085,1,2250.0
38,2026-04-29,CLI-1170,3,1800.0
39,2026-09-02,CLI-1128,5,2070.0
40,2026-09-01,CLI-1057,3,1800.0
41,2026-07-05,CLI-1045,1,2250.0
42,2026-07-28,CLI-1009,3,1900.0
43,2026-09-21,CLI-1075,5,2300.0
44,2026-07-27,CLI-1158,1,2500.0
45,2026-07-12,CLI-1128,1,2500.0
46,2026-08-15,CLI-1038,2,1710.0
47,2026-05-27,CLI-1025,1,2250.0
48,2026-05-01,CLI-1094,3,2000.0
49,2026-04-29,CLI-1025,1,2250.0
50,2026-10-02,CLI-1176,3,2000.0
